keyword,best_label,confidence,score_Transactional,score_Problem-Aware/Solution,score_Brand,score_Informational,score_Trust,score_Commercial
tfo machine,Transactional,0.681,0.681,0.148,0.057,0.067,0.024,0.023
polyester thread,Transactional,0.346,0.346,0.227,0.184,0.145,0.066,0.033
polycherry thread,Transactional,0.344,0.344,0.28,0.084,0.199,0.067,0.026
bag thread,Transactional,0.43,0.43,0.206,0.092,0.201,0.044,0.027
bag closer thread,Transactional,0.333,0.333,0.21,0.087,0.283,0.057,0.031
aalidhra pharmachem pvt ltd,Commercial,0.288,0.252,0.219,0.054,0.107,0.08,0.288
11 draw,Transactional,0.264,0.264,0.222,0.199,0.159,0.105,0.05
texfab engineers,Transactional,0.296,0.296,0.282,0.099,0.176,0.089,0.058
aalidhra textile engineers ltd,Problem-Aware/Solution,0.384,0.145,0.384,0.071,0.219,0.082,0.1
texfab engineers i pvt ltd,Transactional,0.306,0.306,0.224,0.095,0.157,0.107,0.111
alidhra weavetech group,Transactional,0.361,0.361,0.235,0.051,0.249,0.064,0.041
textile machine manufacturer in surat,Problem-Aware/Solution,0.316,0.142,0.316,0.222,0.112,0.072,0.135
textile machine manufacturers in surat,Problem-Aware/Solution,0.318,0.179,0.318,0.158,0.138,0.098,0.11
textile machinery manufacturers in surat,Problem-Aware/Solution,0.32,0.183,0.32,0.16,0.136,0.092,0.109
texturing machine,Transactional,0.284,0.284,0.209,0.174,0.222,0.074,0.037
weavetech engineers limited,Transactional,0.28,0.28,0.277,0.074,0.211,0.108,0.05
weavetech engineers ltd,Problem-Aware/Solution,0.304,0.258,0.304,0.049,0.193,0.108,0.087
twisting machine,Transactional,0.437,0.437,0.238,0.125,0.119,0.043,0.038
t f o machine,Transactional,0.448,0.448,0.269,0.111,0.085,0.055,0.033
tfo machine,Transactional,0.681,0.681,0.148,0.057,0.067,0.024,0.023
doubler machine,Problem-Aware/Solution,0.254,0.224,0.254,0.23,0.171,0.061,0.06
doubling machine,Transactional,0.493,0.493,0.224,0.114,0.1,0.041,0.028
cotton yarn twisting machine,Problem-Aware/Solution,0.336,0.252,0.336,0.171,0.16,0.043,0.038
aalidhra textile engineers ltd,Problem-Aware/Solution,0.384,0.145,0.384,0.071,0.219,0.082,0.1
alidhra weavetech group,Transactional,0.361,0.361,0.235,0.051,0.249,0.064,0.041
yarn twister,Informational,0.27,0.205,0.227,0.206,0.27,0.052,0.04
weavetech engineers limited,Transactional,0.28,0.28,0.277,0.074,0.211,0.108,0.05
weavetech engineers ltd,Problem-Aware/Solution,0.304,0.258,0.304,0.049,0.193,0.108,0.087
aawadkrupa plastomech private limited,Transactional,0.34,0.34,0.285,0.061,0.137,0.139,0.037
aawadkrupa plastomech pvt ltd,Problem-Aware/Solution,0.246,0.235,0.246,0.097,0.114,0.096,0.211
ring twister,Problem-Aware/Solution,0.28,0.27,0.28,0.162,0.191,0.046,0.052
aawadkrupa plastomech private limited,Transactional,0.34,0.34,0.285,0.061,0.137,0.139,0.037
aawadkrupa plastomech pvt ltd,Problem-Aware/Solution,0.246,0.235,0.246,0.097,0.114,0.096,0.211
ring twister,Problem-Aware/Solution,0.28,0.27,0.28,0.162,0.191,0.046,0.052
making rope machine,Problem-Aware/Solution,0.426,0.299,0.426,0.074,0.13,0.035,0.036
rope making machine,Problem-Aware/Solution,0.45,0.192,0.45,0.149,0.119,0.054,0.036
technology plastomech pvt ltd,Transactional,0.333,0.333,0.245,0.112,0.131,0.072,0.107
machine rope,Transactional,0.348,0.348,0.28,0.106,0.157,0.063,0.046
rope machine,Problem-Aware/Solution,0.367,0.315,0.367,0.112,0.112,0.048,0.046
dty,Transactional,0.284,0.284,0.236,0.11,0.203,0.122,0.044
bagat,Problem-Aware/Solution,0.331,0.311,0.331,0.06,0.16,0.091,0.046
